ID,Question,Category,Critical,Engineering,Product,Business,Leadership,Type,Question Type,Theme,Weight
187,"Are you confident that our teams have the right mix of skills for a more distributed, service-based architecture?",Team Capability,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
188,"Where do you see the biggest gaps in capability, and how are we addressing them?",Team Capability,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
189,How empowered do teams feel to make architectural or technical decisions?,Team Capability,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
190,"Are there systemic factors (e.g. incentive structures, reporting lines) that limit team autonomy or effectiveness?",Team Capability,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
191,"What delivery or governance processes do you find most restrictive, and why?",Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
192,How confident are you in your team's ability to release changes independently?,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
193,Are there clear owners for all the systems your team depends on?,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
194,"When incidents occur, do the root causes typically trace back to technical gaps or governance issues?",Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
195,"What delivery-related practices (e.g. testing, CI/CD, service ownership) work well today — and what doesn’t?",Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
196,How clearly defined are ownership boundaries between teams you work with?,Governance & Delivery,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
197,What challenges do you face in delivering features across multiple systems or teams?,Governance & Delivery,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
198,Are platform or architectural changes easy to plan around in your roadmap?,Governance & Delivery,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
199,"When delivery slows down, what are the usual friction points?",Governance & Delivery,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
200,What’s your level of confidence in the observability of the systems your teams rely on?,Governance & Delivery,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
201,Do you feel platform or release processes help or hinder your ability to meet business goals?,Governance & Delivery,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
202,"How visible is technical risk (e.g. stability, scalability) to you in your day-to-day work?",Governance & Delivery,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
203,Are roles and responsibilities clear when something goes wrong in the platform?,Governance & Delivery,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
204,How often do changes to the platform or systems disrupt business operations?,Governance & Delivery,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
205,"If you could change one thing about how tech and business coordinate releases, what would it be?",Governance & Delivery,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
206,Are our governance structures supporting or slowing down delivery?,Governance & Delivery,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
207,How well do you think we balance innovation and risk management?,Governance & Delivery,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
208,Do teams have the right guardrails (not handcuffs) to deliver independently?,Governance & Delivery,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
209,How visible and actionable are technical delivery metrics at the leadership level?,Governance & Delivery,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
210,Where do you see the biggest risks in delivery or service ownership — and how are they currently managed?,Governance & Delivery,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
211,Which integrations (internal or external) cause the most friction in development or maintenance?,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
212,How well documented and discoverable are the APIs and data flows your team depends on?,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
213,"Where do you see the biggest risks related to data consistency, duplication, or ownership?",Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
214,Are there integration patterns or tooling you feel are outdated or limiting?,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
215,What’s one improvement that would make integrating new services or capabilities significantly easier?,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
216,How confident are you in the reliability and speed of data integrations that support your product area?,Integration & Data Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
217,Do API or data constraints ever force you to compromise product scope or timelines?,Integration & Data Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
218,Are you aware of any key dependencies between your product area and upstream or downstream systems?,Integration & Data Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
219,What would help you better understand the data and integration landscape you work within?,Integration & Data Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
220,,Integration & Data Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
221,"Are there any data or integration gaps that regularly affect reporting, operations, or customer experience?",Integration & Data Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
222,How dependent is your team on technical support for accessing or interpreting data?,Integration & Data Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
223,Do you trust the consistency and quality of the data available to your area of the business?,Integration & Data Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
224,Are there third-party tools or partners that are difficult to integrate with due to our current systems?,Integration & Data Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
225,Where would real-time data or automation make the biggest impact in your workflow?,Integration & Data Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
226,How well do you think we manage integration complexity as the business grows?,Integration & Data Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
227,Are there clear lines of accountability when integration issues affect business operations?,Integration & Data Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
228,How mature is our organisation’s thinking around data ownership and stewardship?,Integration & Data Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
229,Where do you see the biggest gaps in observability or trust in our data pipelines?,Integration & Data Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
230,Are our current systems ready to scale in terms of integration volume and velocity?,Integration & Data Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
231,How clearly do you understand the business rationale behind moving to a composable architecture?,Business Alignment & Strategy,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
232,Do you feel technical debt and architectural improvements are prioritised appropriately in planning cycles?,Business Alignment & Strategy,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
233,Are you involved early enough in strategic planning to influence technical feasibility?,Business Alignment & Strategy,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
234,Have you seen examples where technical goals and business outcomes were well aligned — or badly misaligned?,Business Alignment & Strategy,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
235,What would help you better connect day-to-day technical work with long-term business value?,Business Alignment & Strategy,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
236,How aligned are product roadmaps with the company’s longer-term platform goals?,Business Alignment & Strategy,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
237,Do you feel supported in prioritising foundational or non-feature work when needed?,Business Alignment & Strategy,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
238,Are you able to clearly explain to stakeholders why composable architecture matters?,Business Alignment & Strategy,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
239,Have you had to push back on business expectations due to architectural or platform limitations?,Business Alignment & Strategy,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
240,What signals would you look for to know this migration is succeeding?,Business Alignment & Strategy,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
241,How clearly do you understand the goals and expected benefits of moving to a composable platform?,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
242,Are there business goals that are currently slowed down or limited by the existing technology stack?,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
243,Do you feel platform investment is a cost centre or a growth enabler?,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
244,Where do you see potential for innovation or differentiation if the platform were more flexible?,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
245,How would you know this migration was a success from a business point of view?,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
246,"Do we have clear, shared outcomes defined for the platform transformation?",Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
247,How confident are you in the business case and ROI behind the migration effort?,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
248,Are business priorities and platform strategy reviewed together — or in isolation?,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
249,"Do you feel your peers across business and tech are aligned on why, when, and how to modernise?",Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
250,What trade-offs are you willing to make to ensure the platform evolves in the right direction?,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
251,"How open do you think the engineering culture is to changing how we build, ship, and run software?",Cultural Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
252,Are there any legacy assumptions or habits that you think are holding us back?,Cultural Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
253,How psychologically safe do you feel raising concerns or challenging long-held technical opinions?,Cultural Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
254,How well do we share learnings or failures across engineering teams?,Cultural Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
255,"What changes in mindset or behaviours would help us succeed in a more modular, decentralised setup?",Cultural Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
256,How comfortable is your team working in uncertainty or with evolving technical foundations?,Cultural Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
257,"Have you observed resistance to change — and if so, where is it most visible?",Cultural Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
258,"Are product and engineering aligned in how they approach risk, experimentation, and iteration?",Cultural Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
259,How well do teams balance delivery pressure with long-term platform thinking?,Cultural Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
260,What cultural traits (positive or negative) stand out when we work across teams?,Cultural Readiness,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
261,How comfortable is your part of the organisation with adopting new ways of working?,Cultural Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
262,Do you see openness or resistance to change in how people respond to platform or process shifts?,Cultural Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
263,Are people incentivised to prioritise short-term outcomes over long-term improvements?,Cultural Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
264,How easy is it for business teams to challenge legacy ways of doing things?,Cultural Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
265,Where do you see opportunities to improve collaboration between business and technology?,Cultural Readiness,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
266,How are you preparing the organisation — not just the tech — for this migration?,Cultural Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
267,Do you feel leaders are modelling the behaviours they expect from others during change?,Cultural Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
268,Where are we strongest culturally — and where are we most vulnerable?,Cultural Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
269,How do you handle resistance to change when it comes from respected or senior individuals?,Cultural Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
270,Are incentives and KPIs aligned with the outcomes this transformation needs?,Cultural Readiness,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
